param_swept,param_value,init_method,trustworthiness,triplet_accuracy,knn_preservation,sna,morans_i_max,procrustes_rust_vs_python,procrustes_vs_default,solver_level,wall_time_s
min_dist,0.1,python_spectral,0.9895909531923424,0.7178532837075279,0.32474000000000003,0.0021184729064039408,0.05961111558046121,,1.271067115646357e-29,,7.685247569927014
min_dist,0.1,pca,0.9895889713006581,0.6903789970784808,0.32526666666666665,0.002078352490421456,0.06399309669484152,,1.4173913276625049e-30,,7.981408680905588
min_dist,0.1,random,0.9892450569643514,0.6504982590947292,0.32128666666666666,0.0019967980295566507,0.08679258596569747,,2.3861292493940684e-30,,8.099570582970046
min_dist,0.25,rust_spectral,0.9889247556045572,0.7241565614119342,0.31736,0.00211256157635468,0.06009217181025418,0.3012184919793498,0.014215327955288405,1.0,8.285373041057028
min_dist,0.25,python_spectral,0.9889486518993685,0.717313002761436,0.31984000000000007,0.0020211822660098524,0.06337266040864092,,0.024224933718148642,,8.411567784030922
min_dist,0.25,pca,0.9881594273495706,0.7016048345139473,0.3137333333333333,0.0019931308155446085,0.06255776203543181,,0.01520170896071054,,7.667524575954303
min_dist,0.25,random,0.9884024048645217,0.6390923280105655,0.3153533333333334,0.0020655172413793104,0.08155573876658082,,0.6915672503557548,,7.709533866960555
min_dist,0.5,rust_spectral,0.9870850516187231,0.716872773842398,0.29440000000000005,0.0021694854953475643,0.06708060935351443,0.3083281124399231,0.03772781792596252,1.0,8.256130620022304
min_dist,0.5,python_spectral,0.9868508843673783,0.7281786528995078,0.29536,0.002047536945812808,0.0601154169461421,,0.029431336272331236,,7.701665869913995
min_dist,0.5,pca,0.986347921552905,0.7112298395165486,0.2907,0.002043103448275862,0.058723321009648166,,0.05039348501862646,,7.721072267042473
min_dist,0.5,random,0.9866075132805453,0.6397526713891224,0.29273333333333335,0.0021842364532019703,0.053273111438963114,,0.7345585950441827,,7.560460521955974
min_dist,0.8,rust_spectral,0.9841566262403528,0.7425261135790611,0.2677466666666667,0.002079337712096333,0.050539383404762925,0.32686158338162946,0.059799063897600147,1.0,7.932467959006317
min_dist,0.8,python_spectral,0.9844479636497278,0.7352623364149358,0.27191333333333334,0.0020435960591133,0.06469087591435256,,0.054979449816696294,,7.660481540951878
min_dist,0.8,pca,0.9838864642009956,0.7225957497898907,0.2676733333333334,0.002003694581280788,0.0615658493227909,,0.06891588847548014,,7.691237708902918
min_dist,0.8,random,0.9845488944572517,0.6040140873254092,0.2663533333333334,0.0020466064586754243,0.1312488127943864,,0.9107409767804792,,7.8599051519995555
metric,euclidean,rust_spectral,0.9894727640239217,0.7160523472205547,0.3241,0.0020499999999999997,0.05767033307226588,0.2995690702256447,7.609440829794497e-31,1.0,8.124972981051542
metric,euclidean,python_spectral,0.9895909531923424,0.7178532837075279,0.32474000000000003,0.0021184729064039408,0.05961111558046121,,1.271067115646357e-29,,7.561151160043664
metric,euclidean,pca,0.9895889713006581,0.6903789970784808,0.32526666666666665,0.002078352490421456,0.06399309669484152,,1.4173913276625049e-30,,7.675010489998385
metric,euclidean,random,0.9892450569643514,0.6504982590947292,0.32128666666666666,0.0019967980295566507,0.08679258596569747,,2.3861292493940684e-30,,7.699921484920196
metric,cosine,rust_spectral,0.9825242471016672,0.6665065834233802,0.24552000000000002,0.002152764094143404,0.08034475833970031,0.24573601221221636,0.5205738068416906,1.0,7.996089317952283
metric,cosine,python_spectral,0.9824959152717918,0.6725297154520351,0.24645333333333333,0.002259688013136289,0.08547525094134918,,0.4577245604739113,,7.715481829014607
metric,cosine,pca,0.9825016972369783,0.6621042942330012,0.24731333333333336,0.002285636394257084,0.06638012304746536,,0.06199610783168734,,7.678491719998419
metric,cosine,random,0.9826788139387257,0.6162404450314163,0.24358666666666667,0.0023469074986316365,0.14908979414951926,,0.8371949085212518,,7.919182330020703
