fixture,method,nbiter,p,residual,ortho_error,wall_time_us,spectral_gap,passes
blobs_5000,direct_l,6,30,5.626362e-2,2.601007e-15,1430620,3.580118e-3,false
blobs_5000,direct_l,6,50,5.416616e-2,1.788157e-15,1700477,7.701860e-4,false
blobs_5000,direct_l,6,100,4.811174e-2,4.539649e-15,2731100,2.828562e-3,false
blobs_5000,direct_l,8,20,4.801035e-2,2.009872e-15,1004540,2.874358e-3,false
blobs_5000,direct_l,8,30,4.416034e-2,7.088219e-16,9654723,2.703218e-3,false
blobs_5000,direct_l,8,50,4.366763e-2,3.154387e-15,15948235,7.282737e-4,false
blobs_5000,direct_l,8,100,3.583404e-2,2.673901e-15,39374678,3.134804e-3,false
blobs_5000,direct_l,10,20,3.926146e-2,1.617537e-15,18357426,1.677607e-3,false
blobs_5000,direct_l,10,30,3.738477e-2,2.782992e-15,38263328,1.720125e-3,false
blobs_5000,direct_l,10,50,3.490464e-2,2.436174e-15,20876957,4.557913e-4,false
blobs_5000,direct_l,10,100,2.909992e-2,3.987125e-15,40268285,2.370365e-3,false
